case_id,preferences,history,intent,must_avoid,recommended_title,year,genres,tmdb_id,description,tmdb_enriched,tmdb_runtime_min,tmdb_director,tmdb_top_cast,tmdb_tagline,tmdb_keywords,constraint_score,intent_score,history_score,tmdb_metadata_score,description_score,description_quality_score,blurb_format_score,overall_score,quick_eval,notes,tmdb_notes,description_notes,quality_notes,blurb_format_notes
15,"love story, fun, musical, for couple","La La Land, Sing",Musical romance / performance energy,Generic romance without music/performance feel,CODA,2021,"Romance, Drama, Music",776503,"CODA (2021, 112 min), starring Emilia Jones and Marlee Matlin. It is highly rated at 7.9/10 with over 2,541 TMDB votes. CODA is a strong pick for this request. It fits because it leans into romance and romantic. As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her.",False,,,,,,1,2,1,0,2,2,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: tagline, cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
16,family fantasy but not childish,"Toy Story, Frozen",Family fantasy with some maturity,Overly kiddy or already watched picks,Frozen II,2019,"Comedy, Animation, Family, Adventure, Fantasy",330457,"Frozen II (2019, 103 min), starring Idina Menzel and Kristen Bell. Frozen II is a strong pick for this request. It fits because it leans into family and fantasy. Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
17,thriller but not too scary,-,Suspense without horror intensity,"Horror-heavy, gore, or terrifying tone",Parasite,2019,"Comedy, Thriller, Drama",496243,"Parasite (2019, 133 min), starring Song Kang-ho and Lee Sun-kyun. It is highly rated at 8.5/10 with over 20,382 TMDB votes. Parasite is a strong pick for this request. It fits because it leans into thriller and a Bong Joon Ho direction style. All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",False,,,,,,1,1,1,0,2,3,5,13,Check: scary without horror tag,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
18,comfort movie after work,-,"Warm, low-stress comfort watch","Intense, punishing, or very dark picks",Love Me Love Me,2026,"Drama, Romance",1317672,"Love Me Love Me (2026, 99 min), starring Pepe Barroso and Mia Jenkins. Love Me Love Me is a strong pick for this request. It fits because it leans into feel good and a Roger Kumble direction style. After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best fri.",False,,,,,,1,1,1,0,2,3,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
19,"action, adventure that friendly for family watch",-,Family action-adventure,Hard-R adult action intensity,Spider-Man: Across the Spider-Verse,2023,"Adventure, Animation, Action, Science Fiction",569094,"Spider-Man: Across the Spider-Verse (2023, 140 min), starring Shameik Moore and Hailee Steinfeld. It is highly rated at 8.3/10 with over 8,427 TMDB votes. Spider-Man: Across the Spider-Verse is a strong pick for this request. It fits because it leans into action and adventure. After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spide.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
20,i love superheroes and feel-good buddy cop stories,iron man 3,Superhero team/duo fun,Random action-comedy without hero/team energy,Deadpool,2016,"Comedy, Adventure, Action",293660,"Deadpool (2016, 108 min), starring Ryan Reynolds and Morena Baccarin. It is highly rated at 7.6/10 with over 32,539 TMDB votes. Deadpool is a strong pick for this request. It fits because it leans into a Tim Miller direction style. The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers,.",False,,,,,,1,2,1,0,2,2,5,13,Check: team/buddy dynamic weak,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
21,new realse sci fi with high imbd rating,-,Typo-robust recent high-rated sci-fi,Ignoring typo-normalized rating / recentness signals,Spider-Man: No Way Home,2021,"Adventure, Science Fiction, Action",634649,"Spider-Man: No Way Home (2021, 148 min), starring Tom Holland and Zendaya. It is highly rated at 7.9/10 with over 21,762 TMDB votes. Spider-Man: No Way Home is a strong pick for this request. It fits because it leans into science fiction and a Jon Watts direction style. Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
22,funny romantic movie,-,Default English rom-com,Foreign-language pick without explicit locale request,Elemental,2023,"Comedy, Animation, Family, Fantasy, Romance",976573,"Elemental (2023, 102 min), starring Leah Lewis and Mamoudou Athie. It is highly rated at 7.6/10 with over 5,227 TMDB votes. Elemental is a strong pick for this request. It fits because it leans into comedy and romance. In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",False,,,,,,1,2,1,0,2,2,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
23,funny romantic movie in Korean,-,Korean romantic comedy,Non-Korean result,Scarlet Innocence,2014,"Thriller, Drama, Romance",287649,"Scarlet Innocence (2014, 111 min), starring Jung Woo-sung and Esom. Scarlet Innocence is a strong pick for this request. It fits because it leans into romance and romantic. A university professor gradually succumbing to blindness is entranced by an obsessive love, in this modern-day adaptation of a classic Korean fairy tale.",False,,,,,,1,1,1,0,2,3,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
24,"animation, emotional but uplifting","Inside Out, Inside Out 2, Frozen, Coco",Fresh uplifting animation,Watched titles or irrelevant fallback picks,Little Amélie or the Character of Rain,2025,"Animation, Drama, Family",682012,"Little Amélie or the Character of Rain (2025, 78 min), starring Loïse Charpentier and Victoria Grobois. Little Amélie or the Character of Rain is a strong pick for this request. It fits because it leans into animation and a Maïlys Vallade, Liane-cho Han direction style. The world is a perplexing, peaceful mystery to Amélie until a miraculous encounter with chocolate ignites her wild sense of curiosity. As she develops a deep attachment to her fami.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
25,funny romantic movie,-,Description quality spot-check,Database-like or overly long explanation,Elemental,2023,"Comedy, Animation, Family, Fantasy, Romance",976573,"Elemental (2023, 102 min), starring Leah Lewis and Mamoudou Athie. It is highly rated at 7.6/10 with over 5,227 TMDB votes. Elemental is a strong pick for this request. It fits because it leans into comedy and romance. In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",False,,,,,,1,2,1,0,2,2,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
26,i love superheros,-,Typo-robust superhero preference,Romance/drama drift caused by misspelling,Venom,2018,"Science Fiction, Action",335983,"Venom (2018, 112 min), starring Tom Hardy and Michelle Williams. Venom is a strong pick for this request. It fits because it leans into a Ruben Fleischer direction style. Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must re.",False,,,,,,1,2,1,0,2,2,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
